createdat,productname,consumption,revenue
2018-09-30,ÖkoStrom 3,15400,448196.9400000000
2018-10-01,ÖkoGas 1,11100,57179.2900000000
2018-10-01,ÖkoStrom 1,17300,517338.5300000000
2018-10-01,ÖkoStrom 2,17500,512819.9300000000
2018-10-01,ÖkoStrom 3,19400,564615.9200000000
2018-10-02,ÖkoGas 1,19000,97878.5800000000
2018-10-02,ÖkoStrom 1,11900,355858.9500000000
2018-10-02,ÖkoStrom 2,17800,521609.9300000000
2018-10-02,ÖkoStrom 3,11900,346337.4500000000
2018-10-03,ÖkoGas 1,20400,105088.5800000000
2018-10-03,ÖkoStrom 1,10200,305019.1600000000
2018-10-03,ÖkoStrom 2,17300,506959.9300000000
2018-10-03,ÖkoStrom 3,10100,293947.9600000000
2018-10-04,ÖkoGas 1,16000,82428.5800000000
2018-10-04,ÖkoStrom 1,13100,391738.9500000000
2018-10-04,ÖkoStrom 2,15200,445419.9400000000
2018-10-04,ÖkoStrom 3,15900,462746.9400000000
2018-10-05,ÖkoGas 1,20300,104573.5800000000
2018-10-05,ÖkoStrom 1,19700,589108.3200000000
2018-10-05,ÖkoStrom 2,17000,498169.9300000000
2018-10-05,ÖkoStrom 3,15400,448196.9400000000
2018-10-06,ÖkoGas 1,25200,129822.8700000000
2018-10-06,ÖkoStrom 1,9900,296049.1600000000
2018-10-06,ÖkoStrom 2,16600,486449.9300000000
2018-10-06,ÖkoStrom 3,16500,480216.4300000000
2018-10-07,ÖkoGas 1,20100,103543.5800000000
2018-10-07,ÖkoStrom 1,17800,532288.5300000000
2018-10-07,ÖkoStrom 2,7400,216849.9700000000
2018-10-07,ÖkoStrom 3,11700,340517.4500000000
2018-10-08,ÖkoGas 1,20000,103028.5800000000
2018-10-08,ÖkoStrom 1,12400,370808.9500000000
2018-10-08,ÖkoStrom 2,15000,439559.9400000000
2018-10-08,ÖkoStrom 3,17700,515136.4300000000
2018-10-09,ÖkoGas 1,21400,110238.5800000000
2018-10-09,ÖkoStrom 1,10000,299039.1600000000
2018-10-09,ÖkoStrom 2,9800,287179.9600000000
2018-10-09,ÖkoStrom 3,10200,296857.9600000000
2018-10-10,ÖkoGas 1,11200,57694.2900000000
2018-10-10,ÖkoStrom 1,18300,547238.5300000000
2018-10-10,ÖkoStrom 2,17500,512819.9300000000
2018-10-10,ÖkoStrom 3,9700,282307.9600000000
2018-10-11,ÖkoGas 1,8200,42244.2900000000
2018-10-11,ÖkoStrom 1,14500,433608.7400000000
2018-10-11,ÖkoStrom 2,12200,357509.9500000000
2018-10-11,ÖkoStrom 3,10300,299767.9600000000
2018-10-12,ÖkoGas 1,22400,115388.5800000000
2018-10-12,ÖkoStrom 1,22400,669848.1100000000
2018-10-12,ÖkoStrom 2,17300,506959.9300000000
2018-10-12,ÖkoStrom 3,20800,605355.9200000000
2018-10-13,ÖkoGas 1,8400,43274.2900000000
2018-10-13,ÖkoStrom 1,22100,660878.1100000000
2018-10-13,ÖkoStrom 2,15000,439559.9400000000
2018-10-13,ÖkoStrom 3,7000,203728.4700000000
2018-10-14,ÖkoGas 1,10600,54604.2900000000
2018-10-14,ÖkoStrom 1,14600,436598.7400000000
2018-10-14,ÖkoStrom 2,16800,492309.9300000000
2018-10-14,ÖkoStrom 3,17300,503496.4300000000
2018-10-15,ÖkoGas 1,28300,145787.8700000000
2018-10-15,ÖkoStrom 1,12200,364828.9500000000
2018-10-15,ÖkoStrom 2,9800,287179.9600000000
2018-10-15,ÖkoStrom 3,10600,308497.9600000000
2018-10-16,ÖkoGas 1,21100,108693.5800000000
2018-10-16,ÖkoStrom 1,22300,666858.1100000000
2018-10-16,ÖkoStrom 2,15200,445419.9400000000
2018-10-16,ÖkoStrom 3,9500,276487.9600000000
2018-10-17,ÖkoGas 1,10300,53059.2900000000
2018-10-17,ÖkoStrom 1,12300,367818.9500000000
2018-10-17,ÖkoStrom 2,16800,492309.9300000000
2018-10-17,ÖkoStrom 3,14400,419096.9400000000
2018-10-18,ÖkoGas 1,27700,142697.8700000000
2018-10-18,ÖkoStrom 1,9600,287079.1600000000
2018-10-18,ÖkoStrom 2,10200,298899.9600000000
2018-10-18,ÖkoStrom 3,9600,279397.9600000000
2018-10-19,ÖkoGas 1,28800,148362.8700000000
2018-10-19,ÖkoStrom 1,19600,586118.3200000000
2018-10-19,ÖkoStrom 2,10100,295969.9600000000
2018-10-19,ÖkoStrom 3,13000,378347.4500000000
2018-10-20,ÖkoStrom 1,12500,373798.9500000000
2018-10-20,ÖkoStrom 2,12400,363369.9500000000
2018-10-20,ÖkoStrom 3,7100,206638.4700000000
2018-10-21,ÖkoGas 1,18100,93243.5800000000
2018-10-21,ÖkoStrom 1,19500,583128.3200000000
2018-10-21,ÖkoStrom 2,16700,489379.9300000000
2018-10-21,ÖkoStrom 3,19500,567525.9200000000
2018-10-22,ÖkoGas 1,8400,43274.2900000000
2018-10-22,ÖkoStrom 1,9900,296049.1600000000
2018-10-22,ÖkoStrom 2,15400,451279.9400000000
2018-10-22,ÖkoStrom 3,14400,419096.9400000000
2018-10-23,ÖkoGas 1,27400,141152.8700000000
2018-10-23,ÖkoStrom 1,19500,583128.3200000000
2018-10-23,ÖkoStrom 2,15100,442489.9400000000
2018-10-23,ÖkoStrom 3,14600,424916.9400000000
2018-10-24,ÖkoGas 1,20300,104573.5800000000
2018-10-24,ÖkoStrom 1,10000,299039.1600000000
2018-10-24,ÖkoStrom 2,19900,583149.9200000000
2018-10-24,ÖkoStrom 3,14200,413276.9400000000
2018-10-25,ÖkoGas 1,9000,46364.2900000000
2018-10-25,ÖkoStrom 1,22200,663868.1100000000
2018-10-25,ÖkoStrom 2,14800,433699.9400000000
2018-10-25,ÖkoStrom 3,10000,291037.9600000000
2018-10-26,ÖkoGas 1,18800,96848.5800000000
2018-10-26,ÖkoStrom 1,12600,376788.9500000000
2018-10-26,ÖkoStrom 2,16700,489379.9300000000
2018-10-26,ÖkoStrom 3,7300,212458.4700000000
2018-10-27,ÖkoStrom 1,14800,442578.7400000000
2018-10-27,ÖkoStrom 2,7200,210989.9700000000
2018-10-27,ÖkoStrom 3,17400,506406.4300000000
2018-10-28,ÖkoGas 1,19200,98908.5800000000
2018-10-28,ÖkoStrom 1,16300,487438.5300000000
2018-10-28,ÖkoStrom 2,14700,430769.9400000000
2018-10-28,ÖkoStrom 3,20200,587895.9200000000
2018-10-29,ÖkoStrom 1,12100,361838.9500000000
2018-10-29,ÖkoStrom 2,14200,416119.9400000000
2018-10-29,ÖkoStrom 3,9700,282307.9600000000
2018-10-30,ÖkoGas 1,29400,151452.8700000000
2018-10-30,ÖkoStrom 1,11000,328948.9500000000
2018-10-30,ÖkoStrom 2,9600,281319.9600000000
2018-10-30,ÖkoStrom 3,14400,419096.9400000000
2018-10-31,ÖkoGas 1,8500,43789.2900000000
2018-10-31,ÖkoStrom 1,9800,293059.1600000000
2018-10-31,ÖkoStrom 2,17800,521609.9300000000
2018-10-31,ÖkoStrom 3,21800,634465.4100000000
2018-11-01,ÖkoStrom 1,15800,472478.7400000000
2018-11-01,ÖkoStrom 2,9800,287179.9600000000
2018-11-01,ÖkoStrom 3,16400,477306.4300000000
2018-11-02,ÖkoGas 1,38400,197817.1600000000
2018-11-02,ÖkoStrom 1,9300,278109.1600000000
2018-11-02,ÖkoStrom 2,14500,424909.9400000000
2018-11-02,ÖkoStrom 3,7200,209548.4700000000
2018-11-03,ÖkoGas 1,21700,111783.5800000000
2018-11-03,ÖkoStrom 1,10000,299039.1600000000
2018-11-03,ÖkoStrom 2,22000,644689.9100000000
2018-11-03,ÖkoStrom 3,10300,299767.9600000000
2018-11-04,ÖkoGas 1,27200,140122.8700000000
2018-11-04,ÖkoStrom 1,16410,490727.5300000000
2018-11-04,ÖkoStrom 2,15400,451279.9400000000
2018-11-04,ÖkoStrom 3,14000,407456.9400000000
2018-11-05,ÖkoGas 1,18100,93243.5800000000
2018-11-05,ÖkoStrom 1,17300,517338.5300000000
2018-11-05,ÖkoStrom 2,23300,682779.9100000000
2018-11-05,ÖkoStrom 3,13000,378347.4500000000
2018-11-06,ÖkoGas 1,10000,51514.2900000000
2018-11-06,ÖkoStrom 1,13000,388748.9500000000
2018-11-06,ÖkoStrom 2,18000,527469.9300000000
2018-11-06,ÖkoStrom 3,22300,649015.4100000000
2018-11-07,ÖkoGas 1,28900,148877.8700000000
2018-11-07,ÖkoStrom 1,18942,566444.1200000000
2018-11-07,ÖkoStrom 2,6900,202199.9700000000
2018-11-07,ÖkoStrom 3,17300,503496.4300000000
2018-11-08,ÖkoGas 1,8300,42759.2900000000
2018-11-08,ÖkoStrom 1,16500,493418.5300000000
2018-11-08,ÖkoStrom 2,12900,378019.9500000000
2018-11-08,ÖkoStrom 3,7200,209548.4700000000
2018-11-09,ÖkoStrom 1,12100,361838.9500000000
2018-11-09,ÖkoStrom 2,19200,562639.9200000000
2018-11-09,ÖkoStrom 3,13800,401636.9400000000
2018-11-10,ÖkoGas 1,10300,53059.2900000000
2018-11-10,ÖkoStrom 1,10970,328042.1600000000
2018-11-10,ÖkoStrom 2,21800,638829.9100000000
2018-11-10,ÖkoStrom 3,14700,427826.9400000000
2018-11-11,ÖkoGas 1,38400,197817.1600000000
2018-11-11,ÖkoStrom 1,13100,391738.9500000000
2018-11-11,ÖkoStrom 2,5000,146519.9800000000
2018-11-11,ÖkoStrom 3,12700,369617.4500000000
2018-11-12,ÖkoGas 1,29000,149392.8700000000
2018-11-12,ÖkoStrom 1,12500,373798.9500000000
2018-11-12,ÖkoStrom 2,19400,568499.9200000000
2018-11-12,ÖkoStrom 3,17800,518046.4300000000
2018-11-13,ÖkoGas 1,42300,217902.1600000000
2018-11-13,ÖkoStrom 1,16700,499398.5300000000
2018-11-13,ÖkoStrom 2,15300,448349.9400000000
2018-11-13,ÖkoStrom 3,27000,785804.3900000000
2018-11-14,ÖkoStrom 1,10000,299039.1600000000
2018-11-14,ÖkoStrom 2,14400,421979.9400000000
2018-11-14,ÖkoStrom 3,21700,631555.4100000000
2018-11-15,ÖkoGas 1,9400,48424.2900000000
2018-11-15,ÖkoStrom 1,12700,379778.9500000000
2018-11-15,ÖkoStrom 2,15270,447470.9400000000
2018-11-15,ÖkoStrom 3,14700,427826.9400000000
2018-11-16,ÖkoGas 1,19900,102513.5800000000
2018-11-16,ÖkoStrom 1,14500,433608.7400000000
2018-11-16,ÖkoStrom 2,10100,295969.9600000000
2018-11-16,ÖkoStrom 3,17700,515136.4300000000
2018-11-17,ÖkoGas 1,21700,111783.5800000000
2018-11-17,ÖkoStrom 1,20200,604058.3200000000
2018-11-17,ÖkoStrom 2,2000,58609.9900000000
2018-11-17,ÖkoStrom 3,12800,372527.4500000000
2018-11-18,ÖkoGas 1,9700,49969.2900000000
2018-11-18,ÖkoStrom 1,14600,436598.7400000000
2018-11-18,ÖkoStrom 2,9100,266669.9600000000
2018-11-18,ÖkoStrom 3,19700,573345.9200000000
2018-11-19,ÖkoGas 1,30100,155057.8700000000
2018-11-19,ÖkoStrom 1,10200,305019.1600000000
2018-11-19,ÖkoStrom 2,9800,287179.9600000000
2018-11-19,ÖkoStrom 3,21800,634465.4100000000
2018-11-20,ÖkoGas 1,28900,148877.8700000000
2018-11-20,ÖkoStrom 1,19600,586118.3200000000
2018-11-20,ÖkoStrom 2,9900,290109.9600000000
2018-11-20,ÖkoStrom 3,25500,742144.9000000000
2018-11-21,ÖkoStrom 1,12900,385758.9500000000
2018-11-21,ÖkoStrom 2,16900,495239.9300000000
2018-11-21,ÖkoStrom 3,19600,570435.9200000000
2018-11-22,ÖkoGas 1,34400,177202.8700000000
2018-11-22,ÖkoStrom 1,20400,610038.3200000000
2018-11-22,ÖkoStrom 2,17700,518679.9300000000
2018-11-22,ÖkoStrom 3,17600,512226.4300000000
2018-11-23,ÖkoGas 1,9900,50999.2900000000
2018-11-23,ÖkoStrom 1,12500,373798.9500000000
2018-11-23,ÖkoStrom 2,19900,583149.9200000000
2018-11-23,ÖkoStrom 3,20300,590805.9200000000
2018-11-24,ÖkoGas 1,21900,112813.5800000000
2018-11-24,ÖkoStrom 1,13099,391709.0500000000
2018-11-24,ÖkoStrom 2,10100,295969.9600000000
2018-11-24,ÖkoStrom 3,9000,261937.9600000000
2018-11-25,ÖkoGas 1,30900,159177.8700000000
2018-11-25,ÖkoStrom 1,11200,334928.9500000000
2018-11-25,ÖkoStrom 2,20200,591939.9200000000
2018-11-25,ÖkoStrom 3,24300,707224.9000000000
2018-11-26,ÖkoGas 1,10400,53574.2900000000
2018-11-26,ÖkoStrom 1,17600,526308.5300000000
2018-11-26,ÖkoStrom 2,12700,372159.9500000000
2018-11-26,ÖkoStrom 3,23800,692674.9000000000
2018-11-27,ÖkoGas 1,20400,105088.5800000000
2018-11-27,ÖkoStrom 1,10900,325949.1600000000
2018-11-27,ÖkoStrom 2,12200,357509.9500000000
2018-11-27,ÖkoStrom 3,17400,506406.4300000000
2018-11-28,ÖkoGas 1,39000,200907.1600000000
2018-11-28,ÖkoStrom 1,18300,547238.5300000000
2018-11-28,ÖkoStrom 2,10800,316479.9600000000
2018-11-28,ÖkoStrom 3,12600,366707.4500000000
2018-11-29,ÖkoGas 1,40800,210177.1600000000
2018-11-29,ÖkoStrom 1,19800,592098.3200000000
2018-11-29,ÖkoStrom 2,9600,281319.9600000000
2018-11-29,ÖkoStrom 3,18200,529686.4300000000
2018-11-30,ÖkoGas 1,19600,100968.5800000000
2018-11-30,ÖkoStrom 1,16800,502388.5300000000
2018-11-30,ÖkoStrom 2,9100,266669.9600000000
2018-11-30,ÖkoStrom 3,18900,550065.9200000000
2018-12-01,ÖkoGas 1,33000,169992.8700000000
2018-12-01,ÖkoStrom 1,25400,759557.9000000000
2018-12-01,ÖkoStrom 2,17100,501099.9300000000
2018-12-01,ÖkoStrom 3,20000,582075.9200000000
2018-12-02,ÖkoGas 1,23600,121568.5800000000
2018-12-02,ÖkoStrom 1,12700,379778.9500000000
2018-12-02,ÖkoStrom 2,9400,275459.9600000000
2018-12-02,ÖkoStrom 3,19500,567525.9200000000
2018-12-03,ÖkoGas 1,46800,241091.4500000000
2018-12-03,ÖkoStrom 1,10000,299039.1600000000
2018-12-03,ÖkoStrom 2,7300,213919.9700000000
2018-12-03,ÖkoStrom 3,12800,372527.4500000000
2018-12-04,ÖkoGas 1,8100,41729.2900000000
2018-12-04,ÖkoStrom 1,18900,565188.3200000000
2018-12-04,ÖkoStrom 2,12200,357509.9500000000
2018-12-04,ÖkoStrom 3,9500,276487.9600000000
2018-12-05,ÖkoStrom 1,12300,367818.9500000000
2018-12-05,ÖkoStrom 2,17200,504029.9300000000
2018-12-05,ÖkoStrom 3,16700,486036.4300000000
2018-12-06,ÖkoGas 1,9400,48424.2900000000
2018-12-06,ÖkoStrom 1,20000,598078.3200000000
2018-12-06,ÖkoStrom 2,13400,392669.9500000000
2018-12-06,ÖkoStrom 3,10300,299767.9600000000
2018-12-07,ÖkoGas 1,30500,157117.8700000000
2018-12-07,ÖkoStrom 1,13900,415668.7400000000
2018-12-07,ÖkoStrom 2,9900,290109.9600000000
2018-12-07,ÖkoStrom 3,24200,704314.9000000000
2018-12-08,ÖkoStrom 1,10200,305019.1600000000
2018-12-08,ÖkoStrom 2,7700,225639.9700000000
2018-12-08,ÖkoStrom 3,17400,506406.4300000000
2018-12-09,ÖkoGas 1,10400,53574.2900000000
2018-12-09,ÖkoStrom 1,19500,583128.3200000000
2018-12-09,ÖkoStrom 2,19600,574359.9200000000
2018-12-09,ÖkoStrom 3,12800,372527.4500000000
2018-12-10,ÖkoGas 1,22400,115388.5800000000
2018-12-10,ÖkoStrom 1,6700,200359.3700000000
2018-12-10,ÖkoStrom 2,12700,372159.9500000000
2018-12-10,ÖkoStrom 3,20400,593715.9200000000
2018-12-11,ÖkoGas 1,16300,83973.5800000000
2018-12-11,ÖkoStrom 1,12000,358848.9500000000
2018-12-11,ÖkoStrom 2,12100,354579.9500000000
2018-12-11,ÖkoStrom 3,17900,520956.4300000000
2018-12-12,ÖkoGas 1,10100,52029.2900000000
2018-12-12,ÖkoStrom 1,6800,203349.3700000000
2018-12-12,ÖkoStrom 2,12000,351649.9500000000
2018-12-12,ÖkoStrom 3,14800,430736.9400000000
2018-12-13,ÖkoGas 1,8400,43274.2900000000
2018-12-13,ÖkoStrom 1,22200,663868.1100000000
2018-12-13,ÖkoStrom 2,16200,474719.9400000000
2018-12-13,ÖkoStrom 3,11600,337607.4500000000
2018-12-14,ÖkoGas 1,11000,56664.2900000000
2018-12-14,ÖkoStrom 1,8000,239229.3700000000
2018-12-14,ÖkoStrom 2,12400,363369.9500000000
2018-12-14,ÖkoStrom 3,5400,157158.9800000000
2018-12-15,ÖkoStrom 1,19600,586118.3200000000
2018-12-15,ÖkoStrom 2,13800,404399.9400000000
2018-12-15,ÖkoStrom 3,15099,439437.8400000000
2018-12-16,ÖkoGas 1,31500,162267.8700000000
2018-12-16,ÖkoStrom 1,14400,430618.7400000000
2018-12-16,ÖkoStrom 2,17800,521609.9300000000
2018-12-16,ÖkoStrom 3,9000,261937.9600000000
2018-12-17,ÖkoGas 1,11600,59754.2900000000
2018-12-17,ÖkoStrom 1,14400,430618.7400000000
2018-12-17,ÖkoStrom 2,19700,577289.9200000000
2018-12-17,ÖkoStrom 3,17400,506406.4300000000
2018-12-18,ÖkoGas 1,18600,95818.5800000000
2018-12-18,ÖkoStrom 1,15600,466498.7400000000
2018-12-18,ÖkoStrom 2,19700,577289.9200000000
2018-12-18,ÖkoStrom 3,10600,308497.9600000000
2018-12-19,ÖkoGas 1,18700,96333.5800000000
2018-12-19,ÖkoStrom 1,11600,346888.9500000000
2018-12-19,ÖkoStrom 2,15178,444775.3400000000
2018-12-19,ÖkoStrom 3,7400,215368.4700000000
2018-12-20,ÖkoGas 1,18200,93758.5800000000
2018-12-20,ÖkoStrom 1,16300,487438.5300000000
2018-12-20,ÖkoStrom 2,18705,548136.4200000000
2018-12-20,ÖkoStrom 3,17100,497676.4300000000
2018-12-21,ÖkoGas 1,29800,153512.8700000000
2018-12-21,ÖkoStrom 1,21100,630978.1100000000
2018-12-21,ÖkoStrom 2,10100,295969.9600000000
2018-12-21,ÖkoStrom 3,12700,369617.4500000000
2018-12-22,ÖkoGas 1,32100,165357.8700000000
2018-12-22,ÖkoStrom 1,11600,346888.9500000000
2018-12-22,ÖkoStrom 2,9600,281319.9600000000
2018-12-22,ÖkoStrom 3,7800,227008.4700000000
2018-12-23,ÖkoGas 1,32809,169009.2200000000
2018-12-23,ÖkoStrom 1,12400,370808.9500000000
2018-12-23,ÖkoStrom 2,17600,515749.9300000000
2018-12-23,ÖkoStrom 3,12600,366707.4500000000
2018-12-24,ÖkoGas 1,27800,143212.8700000000
2018-12-24,ÖkoStrom 1,22900,684798.1100000000
2018-12-24,ÖkoStrom 2,15400,451279.9400000000
2018-12-24,ÖkoStrom 3,16975,494038.9300000000
2018-12-25,ÖkoGas 1,8400,43274.2900000000
2018-12-25,ÖkoStrom 1,14500,433608.7400000000
2018-12-25,ÖkoStrom 2,18700,547989.9200000000
2018-12-25,ÖkoStrom 3,12600,366707.4500000000
2018-12-26,ÖkoGas 1,40400,208117.1600000000
2018-12-26,ÖkoStrom 1,11600,346888.9500000000
2018-12-26,ÖkoStrom 2,12300,360439.9500000000
2018-12-26,ÖkoStrom 3,13500,392897.4500000000
2018-12-27,ÖkoGas 1,39700,204512.1600000000
2018-12-27,ÖkoStrom 1,17500,523318.5300000000
2018-12-27,ÖkoStrom 2,19800,580219.9200000000
2018-12-27,ÖkoStrom 3,17600,512226.4300000000
2018-12-28,ÖkoGas 1,29600,152482.8700000000
2018-12-28,ÖkoStrom 1,16600,496408.5300000000
2018-12-28,ÖkoStrom 2,20900,612449.9200000000
2018-12-28,ÖkoStrom 3,19900,579165.9200000000
2018-12-29,ÖkoGas 1,41500,213782.1600000000
2018-12-29,ÖkoStrom 1,14500,433608.7400000000
2018-12-29,ÖkoStrom 2,7800,228569.9700000000
2018-12-29,ÖkoStrom 3,10400,302677.9600000000
2018-12-30,ÖkoGas 1,37900,195242.1600000000
2018-12-30,ÖkoStrom 1,15800,472478.7400000000
2018-12-30,ÖkoStrom 2,14900,436629.9400000000
2018-12-30,ÖkoStrom 3,18000,523866.4300000000
2018-12-31,ÖkoGas 1,11400,58724.2900000000
2018-12-31,ÖkoStrom 1,9400,281099.1600000000
2018-12-31,ÖkoStrom 2,10100,295969.9600000000
2018-12-31,ÖkoStrom 3,9400,273577.9600000000
2019-01-01,ÖkoGas 1,19100,98393.5800000000
2019-01-01,ÖkoStrom 1,17500,523318.5300000000
2019-01-01,ÖkoStrom 2,17900,524539.9300000000
2019-01-01,ÖkoStrom 3,10700,311407.9600000000
2019-01-02,ÖkoGas 1,10000,51514.2900000000
2019-01-02,ÖkoStrom 1,12500,373798.9500000000
2019-01-02,ÖkoStrom 2,14500,424909.9400000000
2019-01-02,ÖkoStrom 3,9300,270667.9600000000
2019-01-03,ÖkoGas 1,11400,58724.2900000000
2019-01-03,ÖkoStrom 1,11500,343898.9500000000
2019-01-03,ÖkoStrom 2,22700,665199.9100000000
2019-01-03,ÖkoStrom 3,9900,288127.9600000000
2019-01-04,ÖkoStrom 1,14000,418658.7400000000
2019-01-04,ÖkoStrom 2,12800,375089.9500000000
2019-01-04,ÖkoStrom 3,18600,541335.9200000000
2019-01-05,ÖkoGas 1,33500,172567.8700000000
2019-01-05,ÖkoStrom 1,9600,287079.1600000000
2019-01-05,ÖkoStrom 2,6900,202199.9700000000
2019-01-05,ÖkoStrom 3,9400,273577.9600000000
2019-01-06,ÖkoGas 1,38400,197817.1600000000
2019-01-06,ÖkoStrom 1,14700,439588.7400000000
2019-01-06,ÖkoStrom 2,12700,372159.9500000000
2019-01-06,ÖkoStrom 3,15400,448196.9400000000
2019-01-07,ÖkoGas 1,10500,54089.2900000000
2019-01-07,ÖkoStrom 1,14800,442578.7400000000
2019-01-07,ÖkoStrom 2,12200,357509.9500000000
2019-01-07,ÖkoStrom 3,20600,599535.9200000000
2019-01-08,ÖkoGas 1,28600,147332.8700000000
2019-01-08,ÖkoStrom 1,19600,586118.3200000000
2019-01-08,ÖkoStrom 2,9500,278389.9600000000
2019-01-08,ÖkoStrom 3,14400,419096.9400000000
2019-01-09,ÖkoGas 1,8900,45849.2900000000
2019-01-09,ÖkoStrom 1,15700,469488.7400000000
2019-01-09,ÖkoStrom 2,14000,410259.9400000000
2019-01-09,ÖkoStrom 3,12600,366707.4500000000
2019-01-10,ÖkoGas 1,29700,152997.8700000000
2019-01-10,ÖkoStrom 1,9700,290069.1600000000
2019-01-10,ÖkoStrom 2,11900,348719.9500000000
2019-01-10,ÖkoStrom 3,17100,497676.4300000000
2019-01-11,ÖkoGas 1,29500,151967.8700000000
2019-01-11,ÖkoStrom 1,7400,221289.3700000000
2019-01-11,ÖkoStrom 2,22500,659339.9100000000
2019-01-11,ÖkoStrom 3,12000,349247.4500000000
2019-01-12,ÖkoGas 1,22300,114873.5800000000
2019-01-12,ÖkoStrom 1,14100,421648.7400000000
2019-01-12,ÖkoStrom 2,18100,530399.9300000000
2019-01-12,ÖkoStrom 3,9200,267757.9600000000
2019-01-13,ÖkoGas 1,33600,173082.8700000000
2019-01-13,ÖkoStrom 1,9600,287079.1600000000
2019-01-13,ÖkoStrom 2,18800,550919.9200000000
2019-01-13,ÖkoStrom 3,4700,136788.9800000000
2019-01-14,ÖkoGas 1,40600,209147.1600000000
2019-01-14,ÖkoStrom 1,19900,595088.3200000000
2019-01-14,ÖkoStrom 2,19700,577289.9200000000
2019-01-14,ÖkoStrom 3,9900,288127.9600000000
2019-01-15,ÖkoGas 1,9700,49969.2900000000
2019-01-15,ÖkoStrom 1,16500,493418.5300000000
2019-01-15,ÖkoStrom 2,12200,357509.9500000000
2019-01-15,ÖkoStrom 3,17500,509316.4300000000
2019-01-16,ÖkoGas 1,18700,96333.5800000000
2019-01-16,ÖkoStrom 1,19500,583128.3200000000
2019-01-16,ÖkoStrom 2,14756,432410.7400000000
2019-01-16,ÖkoStrom 3,22900,666475.4100000000
2019-01-17,ÖkoGas 1,8200,42244.2900000000
2019-01-17,ÖkoStrom 1,9700,290069.1600000000
2019-01-17,ÖkoStrom 2,17000,498169.9300000000
2019-01-17,ÖkoStrom 3,14500,422006.9400000000
2019-01-18,ÖkoGas 1,36600,188547.1600000000
2019-01-18,ÖkoStrom 1,21800,651908.1100000000
2019-01-18,ÖkoStrom 2,17300,506959.9300000000
2019-01-18,ÖkoStrom 3,16200,471486.4300000000
2019-01-19,ÖkoGas 1,18800,96848.5800000000
2019-01-19,ÖkoStrom 1,13500,403698.9500000000
2019-01-19,ÖkoStrom 2,12400,363369.9500000000
2019-01-19,ÖkoStrom 3,14600,424916.9400000000
2019-01-20,ÖkoGas 1,29500,151967.8700000000
2019-01-20,ÖkoStrom 1,14800,442578.7400000000
2019-01-20,ÖkoStrom 2,15000,439559.9400000000
2019-01-20,ÖkoStrom 3,19300,561705.9200000000
2019-01-21,ÖkoGas 1,9300,47909.2900000000
2019-01-21,ÖkoStrom 1,22100,660878.1100000000
2019-01-21,ÖkoStrom 2,17657,517420.0300000000
2019-01-21,ÖkoStrom 3,13400,389987.4500000000
2019-01-22,ÖkoGas 1,19900,102513.5800000000
2019-01-22,ÖkoStrom 1,14800,442578.7400000000
2019-01-22,ÖkoStrom 2,18500,542129.9200000000
2019-01-22,ÖkoStrom 3,12500,363797.4500000000
2019-01-23,ÖkoGas 1,9300,47909.2900000000
2019-01-23,ÖkoStrom 1,15000,448558.7400000000
2019-01-23,ÖkoStrom 2,14600,427839.9400000000
2019-01-23,ÖkoStrom 3,14500,422006.9400000000
2019-01-24,ÖkoGas 1,11000,56664.2900000000
2019-01-24,ÖkoStrom 1,17499,523288.6300000000
2019-01-24,ÖkoStrom 2,17400,509889.9300000000
2019-01-24,ÖkoStrom 3,9400,273577.9600000000
2019-01-25,ÖkoGas 1,31400,161752.8700000000
2019-01-25,ÖkoStrom 1,19200,574158.3200000000
2019-01-25,ÖkoStrom 2,17100,501099.9300000000
2019-01-25,ÖkoStrom 3,15700,456926.9400000000
2019-01-26,ÖkoStrom 1,10100,302029.1600000000
2019-01-26,ÖkoStrom 2,12100,354579.9500000000
2019-01-26,ÖkoStrom 3,18300,532596.4300000000
2019-01-27,ÖkoGas 1,8900,45849.2900000000
2019-01-27,ÖkoStrom 1,13700,409688.7400000000
2019-01-27,ÖkoStrom 2,16500,483519.9300000000
2019-01-27,ÖkoStrom 3,9600,279397.9600000000
2019-01-28,ÖkoGas 1,8100,41729.2900000000
2019-01-28,ÖkoStrom 1,15600,466498.7400000000
2019-01-28,ÖkoStrom 2,14500,424909.9400000000
2019-01-28,ÖkoStrom 3,12100,352157.4500000000
2019-01-29,ÖkoGas 1,19500,100453.5800000000
2019-01-29,ÖkoStrom 1,12100,361838.9500000000
2019-01-29,ÖkoStrom 2,12700,372159.9500000000
2019-01-29,ÖkoStrom 3,19500,567525.9200000000
2019-01-30,ÖkoGas 1,59300,305480.7400000000
2019-01-30,ÖkoStrom 1,15300,457528.7400000000
2019-01-30,ÖkoStrom 2,18800,550909.9300000000
2019-01-30,ÖkoStrom 3,17100,497676.4300000000
2019-01-31,ÖkoGas 1,39000,200907.1600000000
2019-01-31,ÖkoStrom 1,10300,308009.1600000000
2019-01-31,ÖkoStrom 2,17000,498169.9300000000
2019-01-31,ÖkoStrom 3,16700,486036.4300000000
2019-02-01,ÖkoGas 1,19500,100453.5800000000
2019-02-01,ÖkoStrom 1,9800,293059.1600000000
2019-02-01,ÖkoStrom 2,23800,697429.9100000000
2019-02-01,ÖkoStrom 3,17000,494766.4300000000
2019-02-02,ÖkoGas 1,16500,85003.5800000000
